EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:51:53	4	0.0000	0.0004793138469624782	0	1.0	1.0	1.0	1.0
2	12:05:58	4	0.0000	1.8264688639349585e-05	0	1.0	1.0	1.0	1.0
3	12:20:01	4	0.0000	2.0749849966575883e-05	0	0.9999	0.9999	0.9999	0.9999
4	12:34:01	4	0.0000	1.1476767190295942e-06	0	1.0	1.0	1.0	1.0
5	12:48:07	4	0.0000	3.8800066907192286e-07	0	1.0	1.0	1.0	1.0
6	13:01:53	4	0.0000	7.169711683852866e-06	0	1.0	1.0	1.0	1.0
7	13:15:38	4	0.0000	2.0926127368610457e-07	0	1.0	1.0	1.0	1.0
8	13:29:27	4	0.0000	8.149912945330699e-08	0	1.0	1.0	1.0	1.0
9	13:43:14	4	0.0000	6.151378750918208e-06	0	1.0	1.0	1.0	1.0
10	13:57:01	4	0.0000	3.8030386935813346e-07	0	1.0	1.0	1.0	1.0
11	14:10:48	4	0.0000	2.464151835324172e-06	0	1.0	1.0	1.0	1.0
12	14:24:36	4	0.0000	1.4997999828157268e-06	0	1.0	1.0	1.0	1.0
13	14:38:23	4	0.0000	1.2368068290348618e-07	0	1.0	1.0	1.0	1.0
14	14:52:08	4	0.0000	2.888880716594804e-08	0	1.0	1.0	1.0	1.0
15	15:05:55	4	0.0000	1.6719630282287095e-08	0	1.0	1.0	1.0	1.0
16	15:19:40	4	0.0000	1.0701451792898043e-08	0	1.0	1.0	1.0	1.0
17	15:33:27	4	0.0000	7.651987979594974e-09	0	1.0	1.0	1.0	1.0
18	15:47:15	4	0.0000	6.15143458442885e-09	0	1.0	1.0	1.0	1.0
19	16:01:03	4	0.0000	5.543636238025634e-09	0	1.0	1.0	1.0	1.0
20	16:14:52	4	0.0000	5.3840397353617965e-09	0	1.0	1.0	1.0	1.0
