EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:48:43	4	0.0000	0.0011453042269163722	0	0.9999	1.0	0.9999	0.9999
2	11:02:35	4	0.0000	0.0002692399528854496	0	0.9999	1.0	1.0	0.9999
3	11:16:29	4	0.0000	3.989487424686714e-07	0	1.0	1.0	1.0	1.0
4	11:30:22	4	0.0000	4.2610752058816615e-08	0	1.0	1.0	1.0	1.0
5	11:44:11	4	0.0000	1.638538730204767e-08	0	1.0	1.0	1.0	1.0
6	11:58:02	4	0.0000	8.500275745724343e-09	0	1.0	1.0	1.0	1.0
7	12:11:56	4	0.0000	3.908566467568339e-09	0	1.0	1.0	1.0	1.0
8	12:25:49	4	0.0000	5.876715551346323e-10	0	1.0	1.0	1.0	1.0
9	12:39:43	4	0.0000	1.517414317785649e-10	0	1.0	1.0	1.0	1.0
10	12:53:36	4	0.0000	4.035766019436092e-11	0	1.0	1.0	1.0	1.0
11	13:07:31	4	0.0000	1.2638098179769471e-11	0	1.0	1.0	1.0	1.0
12	13:21:16	4	0.0000	4.296953384536532e-12	0	1.0	1.0	1.0	1.0
13	13:34:57	4	0.0000	2.274857674166399e-12	0	1.0	1.0	1.0	1.0
14	13:48:36	4	0.0000	1.937841722438044e-12	0	1.0	1.0	1.0	1.0
15	14:02:18	4	0.0000	1.5165717827775995e-12	0	1.0	1.0	1.0	1.0
16	14:15:57	4	0.0000	1.0953018431171552e-12	0	1.0	1.0	1.0	1.0
17	14:29:35	4	0.0000	1.1795557707860922e-12	0	1.0	1.0	1.0	1.0
18	14:43:14	4	0.0000	1.4323177948455107e-12	0	1.0	1.0	1.0	1.0
19	14:56:49	4	0.0000	1.0110478551850663e-12	0	1.0	1.0	1.0	1.0
20	15:10:25	4	0.0000	1.3480637968695632e-12	0	1.0	1.0	1.0	1.0
