EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	08:47:06	4	0.0000	0.001066494676250876	0	0.9998	1.0	0.9999	0.9998
2	09:00:27	4	0.0000	0.0002250417287322118	0	0.9999	1.0	1.0	0.9999
3	09:13:51	4	0.0000	1.4019787230907497e-05	0	0.9999	1.0	1.0	0.9999
4	09:27:14	4	0.0000	1.213395656457761e-07	0	0.9999	1.0	1.0	0.9999
5	09:40:36	4	0.0000	3.298224636428839e-08	0	0.9999	0.9999	0.9999	0.9999
6	09:54:00	4	0.0000	1.2320422565572428e-08	0	0.9999	1.0	1.0	0.9999
7	10:07:23	4	0.0000	5.7909568781062736e-09	0	0.9999	1.0	1.0	0.9999
8	10:20:46	4	0.0000	9.49458167503444e-10	0	0.9999	1.0	1.0	0.9999
9	10:34:09	4	0.0000	2.0389464966572095e-10	0	0.9999	1.0	1.0	0.9999
10	10:47:30	4	0.0000	5.1142170629580576e-11	0	1.0	1.0	1.0	1.0
11	11:00:54	4	0.0000	1.339638408120213e-11	0	1.0	1.0	1.0	1.0
12	11:14:14	4	0.0000	0.00012135973278422452	0	1.0	1.0	1.0	1.0
13	11:27:37	4	0.0000	3.716233434290019e-08	0	1.0	1.0	1.0	1.0
14	11:40:57	4	0.0000	5.7781887747764055e-09	0	1.0	1.0	1.0	1.0
15	11:54:16	4	0.0000	2.667661603035137e-09	0	1.0	1.0	1.0	1.0
16	12:07:35	4	0.0000	1.0226938376257566e-09	0	1.0	1.0	1.0	1.0
17	12:20:56	4	0.0000	3.217657402008951e-10	0	1.0	1.0	1.0	1.0
18	12:34:17	4	0.0000	1.8493750248646148e-10	0	1.0	1.0	1.0	1.0
19	12:47:38	4	0.0000	1.317732366487037e-10	0	1.0	1.0	1.0	1.0
20	13:01:00	4	0.0000	1.1637882591478344e-10	0	1.0	1.0	1.0	1.0
