,Column,True Label,Prediction,Classes,Predicted Classes,Dataset
0,drink_mixed_mimesis,non-personal,non-personal,drink_mixed,drink,mimesis
1,MnTvnRO2qGFq56,non-personal,non-personal,date_fr_FR,date,faker
2,city_en_mimesis,non-personal,non-personal,city_en,city,mimesis
3,credit_card_provider_de_DE_faker,non-personal,non-personal,credit_card_provider_de_DE,credit_card_provider,faker
4,48i2GDrmZhvkUDPqTlaV,personal,personal,political_views_de,political_views,mimesis
5,Q3IDA,non-personal,non-personal,resolution_en,resolution,mimesis
6,integer_number_mixed_mimesis,non-personal,non-personal,integer_number_mixed,integer_number,mimesis
7,y2EgpyKwKsS,non-personal,non-personal,dish_fr,dish,mimesis
8,q0aVnLecBwSeId75e,personal,personal,gender_en,gender,mimesis
9,66lA41,personal,personal,iban_fr_FR,iban,faker
10,credit_card_provider_fr_FR_faker,non-personal,non-personal,credit_card_provider_fr_FR,credit_card_provider,faker
11,fzQgliEu7paqypC,personal,personal,phone_number_en,phone_number,mimesis
12,0KeiuPeCDRHwi41XJO,non-personal,non-personal,company_de,company,mimesis
13,X9iBG63d1h,non-personal,non-personal,phone_model_de,phone_model,mimesis
14,system_quality_attribute_fr_mimesis,non-personal,non-personal,system_quality_attribute_fr,system_quality_attribute,mimesis
15,9vtLUKaqPxSpd,personal,personal,worldview_de,religion/worldview,mimesis
16,worldview_de_mimesis,personal,personal,worldview_de,religion/worldview,mimesis
17,dPI1af7W,non-personal,non-personal,swift_fr_FR,,faker
18,credit_card_number_de_DE_faker,personal,personal,credit_card_number_de_DE,credit_card_number,faker
19,iban_fr_FR_faker,personal,personal,iban_fr_FR,iban,faker
20,cpu_en_mimesis,non-personal,non-personal,cpu_en,cpu,mimesis
21,vbF2ulFnwZqvr4MS4,non-personal,non-personal,integer_number_fr,integer_number,mimesis
22,ZD6dJA9AJ,non-personal,non-personal,answer_de,answer,mimesis
23,blood_group_fr_FR_faker,personal,personal,blood_group_fr_FR,blood_group,faker
24,occupation_fr_mimesis,personal,personal,occupation_fr,job,mimesis
25,credit_card_number_fr_mimesis,personal,personal,credit_card_number_fr,credit_card_number,mimesis
26,CuAjA,non-personal,non-personal,color_mixed,color,mimesis
27,full_name_de_mimesis,personal,personal,full_name_de,full_name,mimesis
28,political_views_en_mimesis,personal,personal,political_views_en,political_views,mimesis
29,ku2HChRnT,personal,personal,blood_type_mixed,blood_group,mimesis
30,last_name_mixed_mimesis,personal,personal,last_name_mixed,last_name,mimesis
31,name_mixed_faker,personal,personal,name_mixed,full_name,faker
32,fOB1rc,personal,personal,NIN,national_identification_number,dessi
33,gRXia9J7kAP744EEPmW9,non-personal,non-personal,graphics_mixed,graphics,mimesis
34,usPd6XfPKoIVU2,non-personal,non-personal,manufacturer_fr,manufacturer,mimesis
35,phone_number_de_DE_faker,personal,personal,phone_number_de_DE,phone_number,faker
36,last_name_en_faker,personal,personal,last_name_en,last_name,faker
37,company_fr_mimesis,non-personal,non-personal,company_fr,company,mimesis
