Column,Label
row_id,non-personal
subject_id,personal
hadm_id,personal
icustay_id,personal
dbsource,non-personal
eventtype,non-personal
prev_careunit,non-personal
curr_careunit,non-personal
prev_wardid,non-personal
curr_wardid,non-personal
intime,personal
outtime,personal
los,non-personal
gender,personal
dob,personal
dod,personal
dod_hosp,personal
dod_ssn,personal
expire_flag,non-personal
chartdate,personal
charttime,personal
spec_itemid,non-personal
spec_type_desc,non-personal
org_itemid,non-personal
org_name,non-personal
isolate_num,non-personal
ab_itemid,non-personal
ab_name,non-personal
dilution_text,non-personal
dilution_comparison,non-personal
dilution_value,non-personal
interpretation,non-personal
itemid,non-personal
value,non-personal
valuenum,non-personal
valueuom,non-personal
flag,non-personal
transfertime,personal
prev_service,non-personal
curr_service,non-personal
storetime,personal
cgid,non-personal
warning,non-personal
error,non-personal
resultstatus,non-personal
stopped,non-personal
label,non-personal
description,non-personal
icd9_code,personal
short_title,non-personal
long_title,non-personal
seq_num,non-personal
amount,non-personal
amountuom,non-personal
rate,non-personal
rateuom,non-personal
orderid,personal
linkorderid,personal
newbottle,non-personal
originalamount,non-personal
originalamountuom,non-personal
originalroute,non-personal
originalrate,non-personal
originalrateuom,non-personal
originalsite,non-personal
starttime,personal
endtime,personal
ordercategoryname,non-personal
secondaryordercategoryname,non-personal
ordercomponenttypedescription,non-personal
ordercategorydescription,non-personal
patientweight,personal
totalamount,non-personal
totalamountuom,non-personal
isopenbag,non-personal
continueinnextdept,non-personal
cancelreason,non-personal
statusdescription,non-personal
comments_editedby,non-personal
comments_canceledby,non-personal
comments_date,non-personal
fluid,non-personal
category,non-personal
loinc_code,non-personal
costcenter,non-personal
cpt_cd,personal
cpt_number,personal
cpt_suffix,non-personal
ticket_id_seq,personal
sectionheader,non-personal
subsectionheader,non-personal
abbreviation,non-personal
linksto,non-personal
unitname,non-personal
param_type,non-personal
conceptid,non-personal
iserror,non-personal
text,non-personal
sectionrange,non-personal
subsectionrange,non-personal
codesuffix,non-personal
mincodeinsubsection,non-personal
maxcodeinsubsection,non-personal
admittime,personal
dischtime,personal
deathtime,personal
admission_type,non-personal
admission_location,non-personal
discharge_location,non-personal
insurance,personal
language,non-personal
religion,non-personal
marital_status,personal
ethnicity,personal
edregtime,personal
edouttime,personal
diagnosis,personal
hospital_expire_flag,personal
has_chartevents_data,non-personal
startdate,non-personal
enddate,non-personal
drug_type,non-personal
drug,personal
drug_name_poe,non-personal
drug_name_generic,personal
formulary_drug_cd,personal
gsn,non-personal
ndc,non-personal
prod_strength,non-personal
dose_val_rx,personal
dose_unit_rx,non-personal
form_val_disp,non-personal
form_unit_disp,non-personal
route,personal
submit_wardid,non-personal
submit_careunit,non-personal
callout_wardid,non-personal
callout_service,non-personal
request_tele,non-personal
request_resp,non-personal
request_cdiff,non-personal
request_mrsa,non-personal
request_vre,non-personal
callout_status,non-personal
callout_outcome,non-personal
discharge_wardid,non-personal
acknowledge_status,non-personal
createtime,personal
updatetime,personal
acknowledgetime,non-personal
outcometime,non-personal
firstreservationtime,non-personal
currentreservationtime,non-personal
location,personal
locationcategory,personal
first_careunit,personal
last_careunit,personal
first_wardid,non-personal
last_wardid,non-personal
drg_type,non-personal
drg_code,personal
drg_severity,non-personal
drg_mortality,non-personal
